id,trial,rcond,cond,round,arm,out,block
1,10,ran,Structure-Random-Structure,16,5,46.4224217564099,2
1,1,ran,Structure-Random-Structure,17,3,31.3977129812311,2
1,2,ran,Structure-Random-Structure,17,8,37.4832943160136,2
1,3,ran,Structure-Random-Structure,17,1,14.5368110488467,2
1,4,ran,Structure-Random-Structure,17,2,42.7183691455851,2
1,5,ran,Structure-Random-Structure,17,2,42.4316629592937,2
1,6,ran,Structure-Random-Structure,17,2,42.5786021295198,2
1,7,ran,Structure-Random-Structure,17,2,42.6365339528431,2
1,8,ran,Structure-Random-Structure,17,2,43.0014477186191,2
1,9,ran,Structure-Random-Structure,17,2,42.6328648195764,2
1,10,ran,Structure-Random-Structure,17,2,42.7708966668915,2
1,1,ran,Structure-Random-Structure,18,3,23.4480721088159,2
1,2,ran,Structure-Random-Structure,18,6,28.9828931582947,2
1,3,ran,Structure-Random-Structure,18,7,6.60213790407755,2
1,4,ran,Structure-Random-Structure,18,5,39.6281797236172,2
1,5,ran,Structure-Random-Structure,18,1,12.307982929662,2
1,6,ran,Structure-Random-Structure,18,2,45.2043266608922,2
1,7,ran,Structure-Random-Structure,18,2,44.9246983520113,2
1,8,ran,Structure-Random-Structure,18,2,45.3705012200863,2
1,9,ran,Structure-Random-Structure,18,2,44.9309913541104,2
1,10,ran,Structure-Random-Structure,18,2,45.0861773344612,2
1,1,ran,Structure-Random-Structure,19,3,25.3076824512435,2
1,2,ran,Structure-Random-Structure,19,4,35.5429658015339,2
1,3,ran,Structure-Random-Structure,19,7,40.1794838271988,2
1,4,ran,Structure-Random-Structure,19,7,40.3844723027158,2
1,5,ran,Structure-Random-Structure,19,7,40.7085033964876,2
1,6,ran,Structure-Random-Structure,19,7,41.182990667381,2
1,7,ran,Structure-Random-Structure,19,7,40.784984017164,2
1,8,ran,Structure-Random-Structure,19,7,41.0222424246312,2
1,9,ran,Structure-Random-Structure,19,7,40.5616816528857,2
1,10,ran,Structure-Random-Structure,19,7,40.5725567544123,2
1,1,ran,Structure-Random-Structure,20,3,19.6228482432112,2
1,2,ran,Structure-Random-Structure,20,1,14.6159758500083,2
1,3,ran,Structure-Random-Structure,20,8,9.54630398618963,2
1,4,ran,Structure-Random-Structure,20,5,30.5914111614304,2
1,5,ran,Structure-Random-Structure,20,2,25.0688847817917,2
1,6,ran,Structure-Random-Structure,20,6,45.9663200040536,2
1,7,ran,Structure-Random-Structure,20,6,45.6030010612453,2
1,8,ran,Structure-Random-Structure,20,6,45.7026713753022,2
1,9,ran,Structure-Random-Structure,20,6,44.9372994547157,2
1,10,ran,Structure-Random-Structure,20,6,45.8626456792038,2
1,1,pos,Structure-Random-Structure,21,3,16.0760391756061,3
1,2,pos,Structure-Random-Structure,21,7,36.3309431537231,3
1,3,pos,Structure-Random-Structure,21,5,26.754462532239,3
1,4,pos,Structure-Random-Structure,21,6,31.9418865440833,3
1,5,pos,Structure-Random-Structure,21,4,21.8038638249991,3
1,6,pos,Structure-Random-Structure,21,1,7.23244135350091,3
1,7,pos,Structure-Random-Structure,21,2,11.2752905030606,3
1,8,pos,Structure-Random-Structure,21,8,41.6261563727719,3
1,9,pos,Structure-Random-Structure,21,8,41.7538073290498,3
1,10,pos,Structure-Random-Structure,21,8,41.4040172242233,3
1,1,pos,Structure-Random-Structure,22,2,14.1553028867411,3
1,2,pos,Structure-Random-Structure,22,4,23.3842068528573,3
1,3,pos,Structure-Random-Structure,22,1,8.9215530954613,3
1,4,pos,Structure-Random-Structure,22,6,31.5880665874988,3
1,5,pos,Structure-Random-Structure,22,7,36.6961252092323,3
1,6,pos,Structure-Random-Structure,22,5,27.2870870877019,3
1,7,pos,Structure-Random-Structure,22,8,40.7885113374395,3
1,8,pos,Structure-Random-Structure,22,8,41.2115197187924,3
